links and their lengths in km
**************************START OF FILE**************************
*******************START OF NODE**************************
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
*******************START OF LINK**************************
1,2,50
1,18,50
1,19,50
2,1,50
2,3,50
3,2,50
3,4,50
3,18,50
4,3,50
4,5,50
4,6,50
4,19,50
5,4,50
5,6,50
5,17,50
6,4,50
6,5,50
6,7,50
6,10,50
7,6,50
7,8,50
8,7,50
8,9,50
9,8,50
9,10,50
10,6,50
10,9,50
10,11,50
11,10,50
11,12,50
11,16,50
12,11,50
12,13,50
13,12,50
13,14,50
14,13,50
14,15,50
15,14,50
15,16,50
16,11,50
16,15,50
16,17,50
16,18,50
17,5,50
17,16,50
17,18,50
18,1,50
18,3,50
18,16,50
18,17,50
18,19,50
19,1,50
19,4,50
19,18,50
**************************END OF FILE**************************
